"","Package","LibPath","Version","Priority","Depends","Imports","LinkingTo","Suggests","Enhances","License","License_is_FOSS","License_restricts_use","OS_type","MD5sum","NeedsCompilation","Built"
"bit","bit","C:/Users/sarah.salois/Documents/r/win-library/4.0","4.0.4",NA,"R (>= 2.9.2)",NA,NA,"testthat (>= 0.11.0), roxygen2, knitr, rmarkdown,
microbenchmark, bit64 (>= 4.0.0), ff (>= 4.0.0)",NA,"GPL-2 | GPL-3",NA,NA,NA,NA,"yes","4.0.4"
"bit64","bit64","C:/Users/sarah.salois/Documents/r/win-library/4.0","4.0.5",NA,"R (>= 3.0.1), bit (>= 4.0.0), utils, methods, stats",NA,NA,NA,NA,"GPL-2 | GPL-3",NA,NA,NA,NA,"yes","4.0.4"
"bitops","bitops","C:/Users/sarah.salois/Documents/r/win-library/4.0","1.0-7",NA,NA,NA,NA,NA,NA,"GPL (>= 2)",NA,NA,NA,NA,"yes","4.0.5"
"blob","blob","C:/Users/sarah.salois/Documents/r/win-library/4.0","1.2.3",NA,NA,"methods, rlang, vctrs (>= 0.2.1)",NA,"covr, crayon, pillar (>= 1.2.1), testthat",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.0.5"
"boa","boa","C:/Users/sarah.salois/Documents/r/win-library/4.0","1.1.8-2",NA,"R (>= 2.7)","graphics, grDevices, stats, utils",NA,NA,NA,"GPL-2",NA,NA,NA,NA,"no","4.0.3"
"bold","bold","C:/Users/sarah.salois/Documents/r/win-library/4.0","1.2.0",NA,NA,"xml2, crul (>= 0.3.8), stringr, jsonlite, reshape, plyr,
data.table, tibble",NA,"sangerseqR, testthat, vcr (>= 0.5.4)",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.0.5"
"boot","boot","C:/Users/sarah.salois/Documents/r/win-library/4.0","1.3-28","recommended","R (>= 3.0.0), graphics, stats",NA,NA,"MASS, survival",NA,"Unlimited",NA,NA,NA,NA,"no","4.0.5"
"bootstrap","bootstrap","C:/Users/sarah.salois/Documents/r/win-library/4.0","2019.6",NA,"stats, R (>= 2.10.0)",NA,NA,NA,NA,"BSD_3_clause + file LICENSE",NA,NA,NA,NA,"yes","4.0.3"
"Boruta","Boruta","C:/Users/sarah.salois/Documents/r/win-library/4.0","7.0.0",NA,NA,"ranger",NA,"mlbench, rFerns, randomForest, testthat, xgboost, survival",NA,"GPL (>= 2)",NA,NA,NA,NA,"no","4.0.5"
"brew","brew","C:/Users/sarah.salois/Documents/r/win-library/4.0","1.0-7",NA,NA,NA,NA,"testthat",NA,"GPL-2",NA,NA,NA,NA,"no","4.0.5"
"brio","brio","C:/Users/sarah.salois/Documents/r/win-library/4.0","1.1.3",NA,NA,NA,NA,"covr, testthat (>= 2.1.0)",NA,"MIT + file LICENSE",NA,NA,NA,NA,"yes","4.0.5"
"broom","broom","C:/Users/sarah.salois/Documents/r/win-library/4.0","0.8.0",NA,"R (>= 3.1)","backports, dplyr (>= 1.0.0), ellipsis, generics (>= 0.0.2),
glue, methods, purrr, rlang, stringr, tibble (>= 3.0.0), tidyr
(>= 1.0.0), ggplot2",NA,"AER, akima, AUC, bbmle, betareg, biglm, binGroup, boot,
btergm (>= 1.10.6), car, caret, cluster, cmprsk, coda, covr,
drc, e1071, emmeans, epiR, ergm (>= 3.10.4), fixest (>= 0.9.0),
gam (>= 1.15), gee, geepack, glmnet, glmnetUtils, gmm, Hmisc,
irlba, joineRML, Kendall, knitr, ks, Lahman, lavaan, leaps,
lfe, lm.beta, lme4, lmodel2, lmtest (>= 0.9.38), lsmeans, maps,
maptools, margins, MASS, Matrix, mclust, mediation, metafor,
mfx, mgcv, mlogit, modeldata, modeltests, muhaz, multcomp,
network, nnet, orcutt (>= 2.2), ordinal, plm, poLCA, psych,
quantreg, rgeos, rmarkdown, robust, robustbase, rsample,
sandwich, sp, spdep (>= 1.1), spatialreg, speedglm, spelling,
survey, survival, systemfit, testthat (>= 2.1.0), tseries,
vars, zoo",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.0.5"
"broom.mixed","broom.mixed","C:/Users/sarah.salois/Documents/r/win-library/4.0","0.2.7",NA,NA,"broom, coda, dplyr, methods, nlme, purrr, stringr, tibble,
tidyr",NA,"brms, dotwhisker, knitr, testthat, gamlss, gamlss.data,
ggplot2, GLMMadaptive, glmmADMB, glmmTMB, lmerTest, lme4,
Matrix, MCMCglmm, mgcv, pander, pbkrtest, rstan, rstanarm,
R2jags, TMB, rmarkdown",NA,"GPL-3",NA,NA,NA,NA,"no","4.0.5"
"brt","brt","C:/Users/sarah.salois/Documents/r/win-library/4.0","1.3.0",NA,"R (>= 3.2.0)","stats, ggplot2",NA,"knitr, rmarkdown, reshape2, vsn, DESeq2, pasilla",NA,"GPL (>= 2)",NA,NA,NA,NA,"no","4.0.3"
"bslib","bslib","C:/Users/sarah.salois/Documents/r/win-library/4.0","0.3.1",NA,"R (>= 2.10)","grDevices, htmltools (>= 0.5.2), jsonlite, sass (>= 0.4.0),
jquerylib (>= 0.1.3), rlang",NA,"shiny (>= 1.6.0), rmarkdown (>= 2.7), thematic, knitr,
testthat, withr, rappdirs, curl, magrittr",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.0.5"
"cachem","cachem","C:/Users/sarah.salois/Documents/r/win-library/4.0","1.0.6",NA,NA,"rlang, fastmap",NA,"testthat",NA,"MIT + file LICENSE",NA,NA,NA,NA,"yes","4.0.5"
"Cairo","Cairo","C:/Users/sarah.salois/Documents/r/win-library/4.0","1.6-0",NA,"R (>= 2.4.0)","grDevices, graphics",NA,"png","FastRWeb","GPL-2 | GPL-3",NA,NA,NA,NA,"yes","4.0.5"
"callr","callr","C:/Users/sarah.salois/Documents/r/win-library/4.0","3.7.0",NA,NA,"processx (>= 3.5.0), R6, utils",NA,"cli, covr, ps, rprojroot, spelling, testthat, withr (>=
2.3.0)",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.0.5"
"car","car","C:/Users/sarah.salois/Documents/r/win-library/4.0","3.0-12",NA,"R (>= 3.5.0), carData (>= 3.0-0)","abind, MASS, mgcv, nnet, pbkrtest (>= 0.4-4), quantreg,
grDevices, utils, stats, graphics, maptools, lme4 (>=
1.1-27.1), nlme",NA,"alr4, boot, coxme, effects, knitr, leaps, lmtest, Matrix,
MatrixModels, rgl (>= 0.93.960), rio, sandwich, SparseM,
survival, survey",NA,"GPL (>= 2)",NA,NA,NA,NA,"no","4.0.5"
"carData","carData","C:/Users/sarah.salois/Documents/r/win-library/4.0","3.0-5",NA,"R (>= 3.5.0)",NA,NA,"car (>= 3.0-0)",NA,"GPL (>= 2)",NA,NA,NA,NA,"no","4.0.5"
"caret","caret","C:/Users/sarah.salois/Documents/r/win-library/4.0","6.0-91",NA,"ggplot2, lattice (>= 0.20), R (>= 3.2.0)","e1071, foreach, grDevices, methods, ModelMetrics (>= 1.2.2.2),
nlme, plyr, pROC, recipes (>= 0.1.10), reshape2, stats, stats4,
utils, withr (>= 2.0.0)",NA,"BradleyTerry2, covr, Cubist, dplyr, earth (>= 2.2-3),
ellipse, fastICA, gam (>= 1.15), ipred, kernlab, klaR, knitr,
MASS, Matrix, mda, mgcv, mlbench, MLmetrics, nnet, pamr, party
(>= 0.9-99992), pls, proxy, randomForest, RANN, rmarkdown,
rpart, spls, subselect, superpc, testthat (>= 0.9.1), themis
(>= 0.1.3)",NA,"GPL (>= 2)",NA,NA,NA,NA,"yes","4.0.5"
"cartography","cartography","C:/Users/sarah.salois/Documents/r/win-library/4.0","3.0.1",NA,"R (>= 3.5.0)","classInt, curl, graphics, methods, png, raster, Rcpp, rgeos,
sf (>= 0.6-4), slippymath, sp (>= 1.2-4), stats, utils,
grDevices","Rcpp","lwgeom, SpatialPosition, knitr, rmarkdown, rgdal, tinytest,
covr",NA,"GPL-3",NA,NA,NA,NA,"yes","4.0.5"
"catdata","catdata","C:/Users/sarah.salois/Documents/r/win-library/4.0","1.2.2",NA,"MASS",NA,NA,"rms, qvcalc, glmmML, nnet, pscl, VGAM, gee, mlogit, Ecdat,
geepack, mgcv, rpart, party, ordinal, lme4, vcdExtra, glmnet,
mboost, class, e1071, flexmix, lpSolve, GAMBoost, penalized",NA,"GPL-2",NA,NA,NA,NA,"no","4.0.5"
"CDM","CDM","C:/Users/sarah.salois/Documents/r/win-library/4.0","7.6-11",NA,"R (>= 3.1), mvtnorm","graphics, grDevices, methods, polycor, Rcpp, stats, utils","Rcpp, RcppArmadillo","BIFIEsurvey, lattice, MASS, miceadds, ROI, sirt, sfsmisc","dina, GDINA, mirt, rrum, TAM","GPL (>= 2)",NA,NA,NA,NA,"yes","4.0.5"
"cellranger","cellranger","C:/Users/sarah.salois/Documents/r/win-library/4.0","1.1.0",NA,"R (>= 3.0.0)","rematch, tibble",NA,"covr, testthat (>= 1.0.0), knitr, rmarkdown",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.0.3"
"checkmate","checkmate","C:/Users/sarah.salois/Documents/r/win-library/4.0","2.0.0",NA,"R (>= 3.0.0)","backports (>= 1.1.0), utils",NA,"R6, fastmatch, data.table (>= 1.9.8), devtools, ggplot2,
knitr, magrittr, microbenchmark, rmarkdown, testthat (>=
0.11.0), tinytest (>= 1.1.0), tibble",NA,"BSD_3_clause + file LICENSE",NA,NA,NA,NA,"yes","4.0.5"
"chron","chron","C:/Users/sarah.salois/Documents/r/win-library/4.0","2.3-56",NA,"R (>= 2.12.0)","graphics, stats",NA,"scales, ggplot2","zoo","GPL-2",NA,NA,NA,NA,"yes","4.0.5"
"CircStats","CircStats","C:/Users/sarah.salois/Documents/r/win-library/4.0","0.2-6",NA,"MASS, boot",NA,NA,NA,NA,"GPL-2",NA,NA,NA,NA,"no","4.0.5"
"class","class","C:/Users/sarah.salois/Documents/r/win-library/4.0","7.3-19","recommended","R (>= 3.0.0), stats, utils","MASS",NA,NA,NA,"GPL-2 | GPL-3",NA,NA,NA,NA,"yes","4.0.5"
"classInt","classInt","C:/Users/sarah.salois/Documents/r/win-library/4.0","0.4-3",NA,"R (>= 2.2)","grDevices, stats, graphics, e1071, class, KernSmooth",NA,"spData (>= 0.2.6.2), units, knitr, rmarkdown",NA,"GPL (>= 2)",NA,NA,NA,NA,"yes","4.0.3"
"cli","cli","C:/Users/sarah.salois/Documents/r/win-library/4.0","3.2.0",NA,"R (>= 2.10)","glue (>= 1.6.0), utils",NA,"asciicast, callr, covr, digest, grDevices, htmltools,
htmlwidgets, knitr, methods, mockery, processx, ps (>=
1.3.4.9000), rlang, rmarkdown, rstudioapi, shiny, testthat,
tibble, whoami, withr",NA,"MIT + file LICENSE",NA,NA,NA,NA,"yes","4.0.5"
"clipr","clipr","C:/Users/sarah.salois/Documents/r/win-library/4.0","0.8.0",NA,NA,"utils",NA,"covr, knitr, rmarkdown, rstudioapi (>= 0.5), testthat (>=
2.0.0)",NA,"GPL-3",NA,NA,NA,NA,"no","4.0.5"
"cluster","cluster","C:/Users/sarah.salois/Documents/r/win-library/4.0","2.1.3","recommended","R (>= 3.5.0)","graphics, grDevices, stats, utils",NA,"MASS, Matrix",NA,"GPL (>= 2)",NA,NA,NA,NA,"yes","4.0.5"
"ClusterR","ClusterR","C:/Users/sarah.salois/Documents/r/win-library/4.0","1.2.6",NA,"R(>= 3.2), gtools","Rcpp (>= 0.12.5), graphics, grDevices, utils, stats, gmp,
ggplot2","Rcpp, RcppArmadillo (>= 0.9.1)","OpenImageR, FD, testthat, covr, knitr, rmarkdown",NA,"GPL-3",NA,NA,NA,NA,"yes","4.0.5"
"cmocean","cmocean","C:/Users/sarah.salois/Documents/r/win-library/4.0","0.3-1",NA,"R (>= 3.0.0)","grDevices",NA,"knitr, rmarkdown, ggplot2",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.0.5"
"coda","coda","C:/Users/sarah.salois/Documents/r/win-library/4.0","0.19-4",NA,"R (>= 2.14.0)","lattice",NA,NA,NA,"GPL (>= 2)",NA,NA,NA,NA,"no","4.0.5"
"codetools","codetools","C:/Users/sarah.salois/Documents/r/win-library/4.0","0.2-18","recommended","R (>= 2.1)",NA,NA,NA,NA,"GPL",NA,NA,NA,NA,"no","4.0.3"
"colorednoise","colorednoise","C:/Users/sarah.salois/Documents/r/win-library/4.0","1.1.0",NA,"R (>= 3.3.0)","stats (>= 3.3.2), purrr (>= 0.2.3), Rcpp (>= 1.0.5),
data.table (>= 1.12.8)","Rcpp, RcppArmadillo","ggplot2 (>= 2.2.1), knitr (>= 1.17), rmarkdown (>= 1.6),
testthat (>= 1.0.2), covr (>= 3.0.0), pkgdown (>= 1.1.0)",NA,"GPL-3",NA,NA,NA,NA,"yes","4.0.5"
"colorRamps","colorRamps","C:/Users/sarah.salois/Documents/r/win-library/4.0","2.3",NA,NA,NA,NA,NA,NA,"GPL",NA,NA,NA,NA,NA,"4.0.3"
"colorspace","colorspace","C:/Users/sarah.salois/Documents/r/win-library/4.0","2.0-2",NA,"R (>= 3.0.0), methods","graphics, grDevices, stats",NA,"datasets, utils, KernSmooth, MASS, kernlab, mvtnorm, vcd,
tcltk, shiny, shinyjs, ggplot2, dplyr, scales, grid, png, jpeg,
knitr, rmarkdown, RColorBrewer, rcartocolor, scico, viridis,
wesanderson",NA,"BSD_3_clause + file LICENSE",NA,NA,NA,NA,"yes","4.0.5"
"CommEcol","CommEcol","C:/Users/sarah.salois/Documents/r/win-library/4.0","1.7.1",NA,"R (>= 2.10), vegan, ape, picante, adespatial, betapart","gmp",NA,NA,NA,"GPL-2",NA,NA,NA,NA,"no","4.0.5"
"commonmark","commonmark","C:/Users/sarah.salois/Documents/r/win-library/4.0","1.8.0",NA,NA,NA,NA,"curl, testthat, xml2",NA,"BSD_2_clause + file LICENSE",NA,NA,NA,NA,"yes","4.0.5"
"conditionz","conditionz","C:/Users/sarah.salois/Documents/r/win-library/4.0","0.1.0",NA,"R(>= 3.2.1)","R6, uuid",NA,"testthat",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.0.5"
"config","config","C:/Users/sarah.salois/Documents/r/win-library/4.0","0.3.1",NA,NA,"yaml (>= 2.1.19)",NA,"testthat, knitr, rmarkdown, covr, spelling",NA,"GPL-3",NA,NA,NA,NA,"no","4.0.5"
"conflicted","conflicted","C:/Users/sarah.salois/Documents/r/win-library/4.0","1.1.0",NA,"R (>= 3.2)","memoise, rlang (>= 0.3.4)",NA,"callr, crayon, dplyr, Matrix, methods, pkgload, testthat (>=
3.0.0)",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.0.5"
"conquer","conquer","C:/Users/sarah.salois/Documents/r/win-library/4.0","1.3.0",NA,"R (>= 3.5.0)","Rcpp (>= 1.0.3), Matrix, matrixStats, stats","Rcpp, RcppArmadillo (>= 0.9.850.1.0)",NA,NA,"GPL-3",NA,NA,NA,NA,"yes","4.0.5"
"contfrac","contfrac","C:/Users/sarah.salois/Documents/r/win-library/4.0","1.1-12",NA,NA,NA,NA,NA,NA,"GPL-2",NA,NA,NA,NA,"yes","4.0.3"
"contourPlot","contourPlot","C:/Users/sarah.salois/Documents/r/win-library/4.0","0.2.0",NA,"R (>= 2.10), grDevices, interp, RColorBrewer",NA,NA,NA,NA,"MIT +file LICENSE",NA,NA,NA,NA,"no","4.0.5"
"corrplot","corrplot","C:/Users/sarah.salois/Documents/r/win-library/4.0","0.92",NA,NA,NA,NA,"seriation, knitr, RColorBrewer, rmarkdown, magrittr,
prettydoc, testthat",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.0.5"
"covr","covr","C:/Users/sarah.salois/Documents/r/win-library/4.0","3.5.1",NA,"R (>= 3.1.0), methods","digest, stats, utils, jsonlite, rex, httr, crayon, withr (>=
1.0.2), yaml",NA,"R6, curl, knitr, rmarkdown, htmltools, DT (>= 0.2), testthat,
rlang, rstudioapi (>= 0.2), xml2 (>= 1.0.0), parallel, memoise,
mockery",NA,"GPL-3",NA,NA,NA,NA,"yes","4.0.5"
"cowplot","cowplot","C:/Users/sarah.salois/Documents/r/win-library/4.0","1.1.1",NA,"R (>= 3.5.0)","ggplot2 (> 2.2.1), grid, gtable, grDevices, methods, rlang,
scales",NA,"Cairo, covr, dplyr, forcats, gridGraphics (>= 0.4-0), knitr,
lattice, magick, maps, PASWR, patchwork, rmarkdown, ragg,
testthat (>= 1.0.0), tidyr, vdiffr (>= 0.3.0), VennDiagram",NA,"GPL-2",NA,NA,NA,NA,"no","4.0.5"
"cpp11","cpp11","C:/Users/sarah.salois/Documents/r/win-library/4.0","0.4.2",NA,NA,NA,NA,"bench, brio, callr, cli, covr, decor, desc, ggplot2, glue,
knitr, lobstr, mockery, progress, rmarkdown, scales, Rcpp,
testthat, tibble, utils, vctrs, withr",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.0.5"
"crayon","crayon","C:/Users/sarah.salois/Documents/r/win-library/4.0","1.5.1",NA,NA,"grDevices, methods, utils",NA,"mockery, rstudioapi, testthat, withr",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.0.5"
"credentials","credentials","C:/Users/sarah.salois/Documents/r/win-library/4.0","1.3.2",NA,NA,"openssl (>= 1.3), sys (>= 2.1), curl, jsonlite, askpass",NA,"testthat, knitr, rmarkdown",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.0.5"
"crimedata","crimedata","C:/Users/sarah.salois/Documents/r/win-library/4.0","0.2.0",NA,"R (>= 3.2.0)","digest, httr, magrittr, purrr, readr, stringr, tibble, dplyr,
sf",NA,"testthat, covr, knitr, rmarkdown",NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.0.5"
